generation,size,min_fitness,max_fitness,mean_fitness,dev_fitness,species_size,runtime
0,2,0.007914359666892651,0.1258589772520578,0.06688666845947523,0.05897230879258258,2,3766.9472954012454
1,20,0.007914379360074322,0.17219178910635205,0.08734533029351743,0.05201806819412127,18,4289.26029629074
2,20,0.014473018593543975,0.1721943482409032,0.08319894646202033,0.059512668116241944,35,3996.132717428729
3,20,0.007915727442368875,0.1721943482409032,0.08758855149964093,0.04999440347361771,48,4208.667809093371
4,20,0.007941164774406448,0.1704795910637085,0.11096629849511637,0.05263851302366573,65,4441.665946217254
5,20,0.007914359671932011,0.16366609973461166,0.11418979220160763,0.03989499097321968,80,4221.668384492397
6,20,0.020208652284383923,0.14743244837742067,0.10592642648328068,0.0370331202171488,97,3738.8162025660276
7,20,0.015929458579672318,0.14931507405319944,0.10662194311050832,0.036865040060375234,114,2426.022964483127
8,20,0.008403458837918704,0.14931239329444856,0.0967665004657238,0.047942895442307634,132,3878.920957863331
9,20,0.007921042485231875,0.16235462885675492,0.09382234393287311,0.04435162273654272,149,4450.322772273794
10,20,0.007913464071322032,0.13418240577834917,0.07666971168643051,0.04155048105305507,169,4560.8533129915595
11,20,0.007921042148881346,0.1701752082008875,0.0765462815341591,0.04563226368967253,188,4460.370652200654
12,20,0.007942415297360098,0.15201588052871387,0.07202900721510608,0.03629646482305937,206,4218.088906316087
13,20,0.02017788576943781,0.1530049266839565,0.08388780550260869,0.03459077384485762,225,4004.3070249725133
14,20,0.021136668126306848,0.1519842304159164,0.07682344149139969,0.027511592670704264,245,3779.3611002489924
15,20,0.020345239831914427,0.1492999759252108,0.08805860265219873,0.03408291584755785,264,3841.34837535955
16,20,0.020624833182751913,0.14468660185818683,0.08580580529558982,0.03608776353177779,283,3744.460957515985
17,20,0.021929975122715484,0.1414754524791933,0.08008742240144504,0.038042110908991705,301,3727.50471874699
18,20,0.02399900907099261,0.15369015007921585,0.07627297438160893,0.03183267421213652,321,3419.4395408611745
19,20,0.007921042452608511,0.1414588375916951,0.06291478973869423,0.034495155066654,341,4798.165849998593
20,20,0.020175283376040846,0.1658124849474603,0.0625428898570867,0.03610141204486389,360,4373.500807603821
