generation,size,min_fitness,max_fitness,mean_fitness,dev_fitness,species_size,runtime
0,2,0.006672723522812718,0.11565677543668608,0.0611647494797494,0.05449202595693668,2,3821.1473819557577
1,20,0.006672155360635125,0.13649838603710385,0.06630665893397203,0.05001243873234991,16,4770.088095840067
2,20,0.006672155360635125,0.14422991604526822,0.06960820048298935,0.04790665693565922,33,4240.708705013618
3,20,0.00667289374236187,0.127618110780346,0.07061022312663492,0.03728294005328516,52,4692.472563266754
4,20,0.017625328992050576,0.14159314987962898,0.09067688115297953,0.031703862141197255,71,4173.306906249374
5,20,0.017081858597470155,0.1409789463380728,0.08603804234759937,0.03623414567390185,89,3756.321469400078
6,20,0.025891909685752147,0.12483026519992088,0.08601070035716085,0.02327427869482494,106,3419.78692355752
7,20,0.025201547591248787,0.12530021829695695,0.0692182474663968,0.030582665721676294,123,3966.4770472608507
8,20,0.025201547591248787,0.1461825991435895,0.08773485532844258,0.02964423382671003,142,2148.813153900206
9,20,0.006672723522812718,0.13410935388331935,0.08230861654406879,0.03356192952916965,159,3706.8121694475412
10,20,0.01757593768570434,0.13456757498332014,0.085642689255444,0.030397637260812238,176,3758.8014151640236
11,20,0.006672907707392065,0.1319055271336971,0.07589249644432478,0.03401539836834934,194,4667.6026345063
12,20,0.017568394848832262,0.12280426847795842,0.07823562622574051,0.03110278333769637,212,4067.9297160729766
13,20,0.02521011899815873,0.10672078471049477,0.07426184792393915,0.02683756379779102,229,3888.8016731198877
14,20,0.025384605866084885,0.11128144258138965,0.07448849419203991,0.024190989329181335,249,3699.444682493806
15,20,0.02522324012828343,0.09454099538413384,0.06634093415848653,0.023346616976545952,267,3653.527399657294
16,20,0.025249116776605875,0.13833569945967494,0.06038780852440129,0.027623439035264086,287,4032.369466153905
17,20,0.025257329477447382,0.1458170351883728,0.08280926763021215,0.03928651359927327,306,3824.0639275722206
18,20,0.027142103257863114,0.1372532437402043,0.08187413798243035,0.032220935937108654,323,3253.090505782515
19,20,0.025267225501309283,0.1262041675633774,0.06873005987584521,0.030826866397819244,340,3684.6497885026038
20,20,0.025454979056184265,0.12665620289247537,0.07882242535326377,0.03204810762546537,359,3749.1910930536687
