generation,size,min_fitness,max_fitness,mean_fitness,dev_fitness,species_size,runtime
0,2,0.014807648683158727,0.01481387597505186,0.014810762329105293,3.1136459465661015e-06,2,4399.291907086968
1,20,0.014784733375354514,0.05929791570856614,0.021316731341469906,0.012936969831160397,20,7014.837586652022
2,20,0.014806764437500711,0.08597966007477276,0.03522006752758074,0.017472815100149534,37,6486.35440112371
3,20,0.014833898970665426,0.09497695078330895,0.051223171971705686,0.02131973323696834,56,6069.995535358787
4,20,0.014833898970665426,0.08058798967492915,0.04622066135057009,0.014845784208412602,75,5887.103065515868
5,20,0.025557681543969413,0.08433249883173943,0.05428686463180662,0.015507458900591761,93,5526.253588775173
6,20,0.03654581334138061,0.08613636270834953,0.05362786292494807,0.014854043207230688,111,5809.259233602323
7,20,0.03658409612861281,0.07287851314866803,0.04697217568279677,0.011839901141604386,131,6283.85477467021
8,20,0.01479520529956105,0.08276784744979979,0.052052885901844995,0.015937849589552543,148,5976.85106770508
9,20,0.014813130116423727,0.07287846965027256,0.051833375466379325,0.018133463800356128,166,6098.264854443725
10,20,0.01480283099601332,0.07289079547647503,0.04777608719835623,0.01595518448606872,185,6144.596707793884
11,20,0.03661453660601469,0.07138763614613938,0.05351440270921787,0.011958759151453653,202,5265.801813726779
12,20,0.03663976922031413,0.08010528007380177,0.055361089761086724,0.011827692348011355,220,5460.446068027988
13,20,0.036619082496091936,0.08010528007380177,0.05570796274191568,0.01278786426479904,238,5342.052513713017
14,20,0.03661907864171345,0.0912898500056821,0.05435818595810506,0.014579469959398711,255,5296.625889206305
15,20,0.0155017881107379,0.08058793416425826,0.05287204478758638,0.015563994051158169,273,5661.694252030924
16,20,0.025187966505679994,0.09212501855387928,0.0599172696274632,0.017712309391553178,291,5462.387765948661
17,20,0.015425881435616847,0.08001947456302023,0.055862683674111235,0.018565623694001786,311,5734.136088585947
18,20,0.015425881435616847,0.08327480340963765,0.05946918209147902,0.01595147215894883,329,4227.684161162935
19,20,0.014809030728287848,0.09093004065070646,0.059988863298590066,0.016976940282906448,348,5839.143548074644
20,20,0.025684326504937443,0.09098535154298432,0.05805547134906094,0.015616640378057458,368,5315.332566670142
