generation,size,min_fitness,max_fitness,mean_fitness,dev_fitness,species_size,runtime
0,2,0.012552828381929587,0.012557830793761765,0.012555329587845675,2.5012059160891068e-06,2,4520.3077403232455
1,20,0.012552828381929587,0.08110968858786181,0.031267491516146564,0.016390775188209732,18,6348.136702887714
2,20,0.012552707113542182,0.05726441314771053,0.03543651976433321,0.010406142781314829,35,6694.90832006
3,20,0.012557838210018681,0.06883706936359871,0.045887708368127264,0.013285229447485412,54,6160.494637796655
4,20,0.039683413974515545,0.08102865984188837,0.051678805265976124,0.013309276418869186,73,5606.0371859148145
5,20,0.029569894941159622,0.08096791898185593,0.049497140411884355,0.014058902448355523,92,5990.940306119621
6,20,0.030013204990445186,0.08009270005027026,0.05357798909475005,0.012554609717632129,111,5803.728271273896
7,20,0.0396990794328516,0.0678798900757222,0.05368896157985338,0.010728440274036069,129,5273.330758243799
8,20,0.039368826476649306,0.08069558474208373,0.05540940397780521,0.011954705263751563,149,5473.01823038049
9,20,0.03926866448055357,0.07908650576068961,0.05784682902886722,0.009984400059337472,167,5169.180774876848
10,20,0.04038193683692368,0.07908650576068961,0.0597335801701415,0.00853849896251141,184,4782.129024442285
11,20,0.03974273352561327,0.06791989796906563,0.05622378934188399,0.008487704774315147,203,5216.797725988552
12,20,0.0398388885348281,0.06790749013095318,0.059405830293083585,0.006672428881552248,221,5196.148392396048
13,20,0.03956447658630448,0.06790749013095318,0.053320355381964356,0.009653635831104845,240,5441.059062808752
14,20,0.039385910372434434,0.06750803637641507,0.05225697824558846,0.009800049896091791,258,5562.41501589492
15,20,0.03924818516981543,0.06808098302223693,0.05163529331157082,0.009941772326886039,277,5447.34609496966
16,20,0.03934923698195265,0.07274161251156575,0.05190479755318309,0.009966781594887416,297,5535.681327771395
17,20,0.039655453443948496,0.06744926513304401,0.05286872047180473,0.010507237899238957,315,5549.95829443261
18,20,0.03963804137083816,0.06549445844030877,0.05184073051618813,0.009790943078457128,335,5680.425617208704
19,20,0.039879979863532936,0.06677853748898956,0.05341898498196869,0.008966741375079138,355,5527.630302360281
20,20,0.03949562361557531,0.06780430951752926,0.050698381970583815,0.010258310933765022,373,5395.679401881993
