generation,size,min_fitness,max_fitness,mean_fitness,dev_fitness,species_size,runtime
0,2,0.013377899097278092,0.0972711633512748,0.05532453122427644,0.041946632126998354,2,616.5883230250329
1,20,0.013481795723993101,0.0972711633512748,0.05463567441094711,0.03607598901207436,18,757.775398446247
2,20,0.013481795723993101,0.09353633144486574,0.044980132549246446,0.03257229639075007,36,768.4183235112578
3,20,0.01502878133221425,0.09618974944427075,0.04061981153836409,0.030602349319464133,56,815.0906145256013
4,20,0.015087535072234324,0.09179886084226968,0.04222269227508966,0.025970624709074654,75,766.3711521215737
5,20,0.016675311082701785,0.08678463373676634,0.04668363276794701,0.022453435991834535,95,743.3838416095823
6,20,0.013481810134747016,0.0837647697830151,0.04474202598075151,0.021093368619457136,115,764.7581631857902
7,20,0.016876657373141844,0.07549046016157679,0.036488060729742554,0.01588565770965358,135,807.9608761146665
8,20,0.017105213035861676,0.0705550292861988,0.03566365760783873,0.01300787369615785,155,792.5643978826702
9,20,0.01711043226165357,0.05805487581076509,0.0344245741655264,0.008636064463644,174,807.9714014660567
10,20,0.0171427201506494,0.04894165860850755,0.030665707371665803,0.008203457621770653,193,803.8278585728258
11,20,0.017482257941651688,0.060706643403496026,0.030515697641958606,0.01031046753993413,213,828.4052117913961
12,20,0.017436266886511596,0.06414536056467819,0.0351802659703987,0.011904073756314516,233,816.5736648142338
13,20,0.017142534934485646,0.07425760587715032,0.031608447718325786,0.013279675424639559,253,849.4901174101979
14,20,0.016041757134739137,0.07527644120250761,0.03925420275120076,0.015401812935022638,273,741.7331979144365
15,20,0.0210359597235519,0.09016816232055519,0.04316440415161301,0.016632390851749012,293,720.2287251614034
16,20,0.02071696642169101,0.09024317886161287,0.045988478147096466,0.01615449015410926,311,602.0631759148091
17,20,0.024006158914675727,0.08968138764907416,0.048875441924404704,0.016026213673070954,331,687.8463500253856
18,20,0.02557228844494829,0.08735517011946274,0.049130245327101044,0.01585708499870968,351,691.5276969987899
19,20,0.026349638562720164,0.08129953899271321,0.04876846320395299,0.017951487274793964,370,704.404345408082
20,20,0.02627774123191037,0.07542532614741333,0.04994065517688825,0.01496764005112927,390,683.0134032834321
