generation,size,min_fitness,max_fitness,mean_fitness,dev_fitness,species_size,runtime
0,2,0.02596165097078368,0.19482766611500496,0.11039465854289432,0.08443300757211064,2,2487.911354146898
1,20,0.025956740682215172,0.19482766611500496,0.10996540018490282,0.07909109127372,17,2961.132821585983
2,20,0.02596165097078368,0.19474796943680442,0.08522165900072377,0.06939102246296161,31,2854.564990354702
3,20,0.02596165097078368,0.19472446406108812,0.08379871420484462,0.05853516855746631,49,3088.7115440238267
4,20,0.02596165097078368,0.18908190791005286,0.09037112670450204,0.05424614949804541,67,2921.5726659819484
5,20,0.026887636354825755,0.15633387484676234,0.08372119768295778,0.05069758572278568,86,2840.970360601321
6,20,0.026928156117693138,0.15063637069142152,0.06625615619014771,0.0397682475164468,105,2954.8579675275832
7,20,0.026937408789339885,0.1628496197391539,0.06976666877324718,0.04203564259115748,125,2885.9888902418315
8,20,0.026937367075139124,0.17315422187025487,0.08252165253928326,0.05037859044094881,144,2845.0233797989786
9,20,0.026937367172065883,0.17769688521042032,0.07580887776059435,0.04400357127648824,162,2702.0632452256978
10,20,0.026937367068215784,0.17737622770615735,0.07837394901136609,0.03997850907244539,181,2774.073702989146
11,20,0.027492519429806645,0.1268900473801494,0.07232958197137138,0.03345757852276498,200,2784.027527242899
12,20,0.027304943801120907,0.11577444158599676,0.08148930420459671,0.0296930027804718,216,2497.837606566027
13,20,0.0273049436303951,0.10944286666079049,0.09110415046100842,0.02330186345710436,230,2535.0169636048377
14,20,0.047323376825900515,0.18903722482193513,0.10408952621172866,0.03190121282945306,249,1610.422030782327
15,20,0.026937367185912563,0.17311430169233472,0.09569121957038923,0.03258382985605168,268,2479.354967173189
16,20,0.040182374002929205,0.154797943075539,0.07749615407739488,0.03049488905530316,285,2256.005516042933
17,20,0.0273049436303951,0.1590940758665817,0.07811174771850707,0.0341371356961708,305,2705.522545643151
18,20,0.04716460671501207,0.17315996198197953,0.08226239680328475,0.034985334902596234,323,1804.6942309699953
19,20,0.02729562048087734,0.16294029017016315,0.08119952003558426,0.03788227293523939,343,2724.033774379641
20,20,0.026928171339816155,0.1589346453031848,0.07203248114222785,0.03864370355012046,363,2873.1132845859975
