generation,size,min_fitness,max_fitness,mean_fitness,dev_fitness,species_size,runtime
0,2,0.06673969117992562,0.06996769236602471,0.06835369177297516,0.0016140005930495444,2,2286.9786415267736
1,20,0.03827278077121522,0.15910336957922155,0.08111789700090112,0.03149639742757007,19,3959.4761598035693
2,20,0.0625657379002883,0.168674386631985,0.09341400434059459,0.0383019969842867,37,3502.7169045880437
3,20,0.06546954840661906,0.16867276020243438,0.0846342586345811,0.03399400811106988,52,3406.2268173657358
4,20,0.06656124553639474,0.16284778509058837,0.08954609171764762,0.030245382758408917,64,2978.9130610004067
5,20,0.0667244606005586,0.16284778509058837,0.09615400403780189,0.03475425528435393,80,3167.962941788137
6,20,0.06638471791623149,0.16284778509058837,0.10001217731001695,0.03876469320038015,94,3056.3894386980683
7,20,0.06638472550093091,0.15187110364946957,0.10412814883100918,0.03110199446580281,113,3309.8086640425026
8,20,0.06112278855253503,0.16129575636374577,0.11058929081803734,0.03667028689837325,128,3139.4663255568594
9,20,0.06638374323367391,0.1619297870032326,0.11017739442546748,0.03341572300127226,145,3105.4131824448705
10,20,0.06654918876613734,0.16170748933316387,0.10934380868287674,0.03427397550800811,163,3090.1537355557084
11,20,0.06638472550093091,0.16193685606831074,0.10572287071431814,0.03285235137322419,180,3119.222109645605
12,20,0.0665493800928411,0.16193507526664486,0.10233997161851335,0.032484078079359595,199,3200.213619021699
13,20,0.03753200820177135,0.16193502927995165,0.10078437478141156,0.033037571446601376,218,3930.520705509931
14,20,0.06530957349673769,0.16771134113304662,0.1031741579240459,0.03718995026783341,237,3323.9762106705457
15,20,0.06052610392991056,0.1525578238903633,0.09902254450651013,0.027353973245590177,256,3158.158596949652
16,20,0.06052610392991056,0.16169653049761973,0.10942781864082043,0.030255315354027153,273,2718.992689995095
17,20,0.06052610392991056,0.15511567988182695,0.11057080422578858,0.02616663553913305,291,3112.5165554843843
18,20,0.06656293290576364,0.15461797411936123,0.11355452429431304,0.027850577605578315,311,3088.575452681631
19,20,0.06654932811340035,0.16866761450909676,0.1185025283981509,0.02479279451196856,330,3088.6480378154665
20,20,0.09365084043959747,0.1534896601429973,0.11749347306209539,0.020107309447892963,349,2469.56853191182
