generation,size,min_fitness,max_fitness,mean_fitness,dev_fitness,species_size,runtime
0,2,0.0377068945463724,0.037796474284011394,0.0377516844151919,4.4789868819495454e-05,2,1354.9594681560993
1,20,0.037337769841849534,0.10868064940463237,0.04966647852212612,0.021213204224544854,19,1919.3126086331904
2,20,0.03726518087337273,0.1015039627004761,0.05705439505214149,0.025775277817214347,35,1778.1607842221856
3,20,0.03593297634282293,0.10149270790954046,0.04696363802820818,0.022732484734045787,50,1827.591805625707
4,20,0.03602873933763907,0.10160987953591885,0.057099795456608135,0.02310198241263236,68,1889.348454169929
5,20,0.037335000894092724,0.104850623397605,0.057106439360346,0.0218164845104989,85,1749.8984957747161
6,20,0.0373105352304107,0.104850623397605,0.05513729194866893,0.020300944125057115,104,1850.3264236226678
7,20,0.03776007464506746,0.10095756646200751,0.06339464516906479,0.018313704194614103,124,1584.7139016501606
8,20,0.037369218865751244,0.09734567329430464,0.05858520693604959,0.015802240529863162,143,1771.2287421189249
9,20,0.036029536184859524,0.10866216812569965,0.06561044941365339,0.02347055945174855,160,1656.7174504175782
10,20,0.03679700857603215,0.10485066846461073,0.06885960713791738,0.024862124369492974,180,1781.434554990381
11,20,0.03740986259335859,0.10480642424470932,0.07111529242734807,0.019801883542953518,199,1804.4749505892396
12,20,0.03740917943446074,0.10480642424470932,0.06669596314505713,0.016099079492351284,216,1367.5735535509884
13,20,0.036029536173228995,0.09400303654885381,0.05824829591626416,0.013054077383365056,234,1539.8153070285916
14,20,0.036029536184859524,0.10046592319776472,0.0626720292686304,0.02030296894725022,250,1643.3393365852535
15,20,0.03735367638023977,0.09400303654885381,0.05908427097153862,0.018317686598640928,267,1638.3161245919764
16,20,0.036029536184859524,0.10484920382786068,0.059040883465616326,0.02413936122589987,284,1704.7906704880297
17,20,0.037355243220162634,0.08979705391607747,0.06262304270822526,0.01720832003313228,304,1752.3902922794223
18,20,0.03758388720640425,0.09016993670316706,0.05758592740949912,0.01589192735480987,322,1661.0498286746442
19,20,0.03903704560687347,0.09016993670316706,0.06372770324413436,0.011186396169930746,340,1327.9189541973174
20,20,0.03748292203908168,0.09860637254642506,0.06165372692389688,0.012622425420302529,359,1497.7613683827221
