generation,size,min_fitness,max_fitness,mean_fitness,dev_fitness,species_size,runtime
0,2,0.04713720207481151,0.0472977471801963,0.047217474627503905,8.027255269239808e-05,2,1347.6656089685857
1,20,0.04518549477796287,0.10886493403254799,0.05627125205791188,0.017114992861658823,20,1897.429170768708
2,20,0.046642416140080155,0.1088631747333033,0.06653975699344103,0.02219183470396585,36,1680.6046325340867
3,20,0.04665111046855135,0.10883855480794141,0.07057463455368948,0.021425974662555948,54,1727.9989338293672
4,20,0.046455936513506615,0.10307197384751063,0.06208927527662994,0.018245924016637376,73,1740.860238313675
5,20,0.04645227212729625,0.11038409913903072,0.07245686966551376,0.023023330829291214,92,1706.8253354132175
6,20,0.04518511393683528,0.11814350603662173,0.06641177910508714,0.023373578191202563,109,1654.426271185279
7,20,0.04518511393683528,0.10307267056116984,0.06537871451170098,0.02029813843480966,129,1803.9620151780546
8,20,0.04518571120664855,0.09842851889985893,0.06405517228232162,0.01675168357992259,147,1724.8437759391963
9,20,0.04518610202840201,0.097967014494447,0.06872923866984955,0.013283021967755073,167,1701.9733142405748
10,20,0.045186094808490056,0.11814350577027027,0.07243336921529914,0.02002953560737467,185,1641.5221713222563
11,20,0.045185796906813784,0.11468467187335024,0.07033747278090194,0.016855366977923714,205,1673.5749676600099
12,20,0.04518609451627255,0.11138629527483716,0.07112434189498293,0.02058916908457842,224,1691.1367063000798
13,20,0.045186094808490056,0.11175005186527236,0.07145320259053838,0.021188894333875385,241,1703.8734938241541
14,20,0.045186094808490056,0.11141128636180035,0.0716710910103654,0.02090755789620024,260,1655.1093252114952
15,20,0.04518610257387489,0.11186467333809451,0.07285832728837943,0.019901879553767675,276,1410.7822417505085
16,20,0.04518609476952772,0.1111649919516374,0.06763982854263853,0.017735052691870038,294,1663.2647848576307
17,20,0.04518609476952772,0.09829706712370166,0.06286856770805087,0.014942937393407551,310,1568.4432450011373
18,20,0.04518610257387489,0.10827882300669343,0.06806593363240417,0.01638814921762894,329,1635.4256291091442
19,20,0.045186149166239906,0.10307460692599858,0.06393614984162382,0.016241591043414515,348,1653.5451141893864
20,20,0.04518514092469933,0.09791911826312844,0.06738068311245084,0.014069680172832026,365,1596.940691690892
