file,mca,uarch,compiler,layout,dims,rthr
main,llvm-mca,haswell,gcc,Morton,1,1.1
main,llvm-mca,haswell,gcc,Morton,2,2.11
main,llvm-mca,haswell,gcc,Morton,3,3.11
main,llvm-mca,haswell,gcc,Morton,4,4.11
main,llvm-mca,haswell,gcc,Morton,5,5.11
main,llvm-mca,haswell,gcc,Morton,6,6.11
main,llvm-mca,haswell,gcc,Morton,7,7.16
main,llvm-mca,haswell,gcc,Morton,8,8.16
main,llvm-mca,haswell,gcc,Morton,9,9.16
main,llvm-mca,haswell,gcc,Morton,10,10.16
main,llvm-mca,haswell,gcc,Canonical,1,0.57
main,llvm-mca,haswell,gcc,Canonical,2,1.13
main,llvm-mca,haswell,gcc,Canonical,3,2.17
main,llvm-mca,haswell,gcc,Canonical,4,3.23
main,llvm-mca,haswell,gcc,Canonical,5,4.27
main,llvm-mca,haswell,gcc,Canonical,6,5.32
main,llvm-mca,haswell,gcc,Canonical,7,6.4
main,llvm-mca,haswell,gcc,Canonical,8,7.43
main,llvm-mca,haswell,gcc,Canonical,9,8.47
main,llvm-mca,haswell,gcc,Canonical,10,9.53
main,llvm-mca,znver3,gcc,Morton,1,1.1
main,llvm-mca,znver3,gcc,Morton,2,2.11
main,llvm-mca,znver3,gcc,Morton,3,3.11
main,llvm-mca,znver3,gcc,Morton,4,4.12
main,llvm-mca,znver3,gcc,Morton,5,5.12
main,llvm-mca,znver3,gcc,Morton,6,6.12
main,llvm-mca,znver3,gcc,Morton,7,6.13
main,llvm-mca,znver3,gcc,Morton,8,5.13
main,llvm-mca,znver3,gcc,Morton,9,4.79
main,llvm-mca,znver3,gcc,Morton,10,5.78
main,llvm-mca,znver3,gcc,Canonical,1,0.41
main,llvm-mca,znver3,gcc,Canonical,2,1.12
main,llvm-mca,znver3,gcc,Canonical,3,2.12
main,llvm-mca,znver3,gcc,Canonical,4,3.12
main,llvm-mca,znver3,gcc,Canonical,5,4.15
main,llvm-mca,znver3,gcc,Canonical,6,5.17
main,llvm-mca,znver3,gcc,Canonical,7,6.16
main,llvm-mca,znver3,gcc,Canonical,8,7.22
main,llvm-mca,znver3,gcc,Canonical,9,8.27
main,llvm-mca,znver3,gcc,Canonical,10,9.29
main,llvm-mca,haswell,clang,Morton,1,1.15
main,llvm-mca,haswell,clang,Morton,2,2.16
main,llvm-mca,haswell,clang,Morton,3,3.16
main,llvm-mca,haswell,clang,Morton,4,4.17
main,llvm-mca,haswell,clang,Morton,5,5.17
main,llvm-mca,haswell,clang,Morton,6,6.17
main,llvm-mca,haswell,clang,Morton,7,7.18
main,llvm-mca,haswell,clang,Morton,8,8.18
main,llvm-mca,haswell,clang,Morton,9,9.17
main,llvm-mca,haswell,clang,Morton,10,10.22
main,llvm-mca,haswell,clang,Canonical,1,1.07
main,llvm-mca,haswell,clang,Canonical,2,1.67
main,llvm-mca,haswell,clang,Canonical,3,2.24
main,llvm-mca,haswell,clang,Canonical,4,3.29
main,llvm-mca,haswell,clang,Canonical,5,4.34
main,llvm-mca,haswell,clang,Canonical,6,5.44
main,llvm-mca,haswell,clang,Canonical,7,6.46
main,llvm-mca,haswell,clang,Canonical,8,7.48
main,llvm-mca,haswell,clang,Canonical,9,8.54
main,llvm-mca,haswell,clang,Canonical,10,10.55
main,llvm-mca,znver3,clang,Morton,1,1.15
main,llvm-mca,znver3,clang,Morton,2,2.16
main,llvm-mca,znver3,clang,Morton,3,3.16
main,llvm-mca,znver3,clang,Morton,4,4.17
main,llvm-mca,znver3,clang,Morton,5,5.17
main,llvm-mca,znver3,clang,Morton,6,6.17
main,llvm-mca,znver3,clang,Morton,7,7.17
main,llvm-mca,znver3,clang,Morton,8,8.17
main,llvm-mca,znver3,clang,Morton,9,9.17
main,llvm-mca,znver3,clang,Morton,10,9.22
main,llvm-mca,znver3,clang,Canonical,1,0.76
main,llvm-mca,znver3,clang,Canonical,2,1.17
main,llvm-mca,znver3,clang,Canonical,3,2.17
main,llvm-mca,znver3,clang,Canonical,4,3.21
main,llvm-mca,znver3,clang,Canonical,5,4.22
main,llvm-mca,znver3,clang,Canonical,6,5.21
main,llvm-mca,znver3,clang,Canonical,7,6.29
main,llvm-mca,znver3,clang,Canonical,8,7.32
main,llvm-mca,znver3,clang,Canonical,9,8.4
main,llvm-mca,znver3,clang,Canonical,10,9.91
main,osaca,haswell,gcc,Morton,1,1.0
main,osaca,znver3,gcc,Morton,1,1.0
main,osaca,haswell,gcc,Canonical,1,0.5
main,osaca,znver3,gcc,Canonical,1,0.33
main,osaca,haswell,gcc,Morton,2,2.0
main,osaca,znver3,gcc,Morton,2,2.0
main,osaca,haswell,gcc,Canonical,2,1.0
main,osaca,znver3,gcc,Canonical,2,1.0
main,osaca,haswell,gcc,Morton,3,3.0
main,osaca,znver3,gcc,Morton,3,3.0
main,osaca,haswell,gcc,Canonical,3,2.0
main,osaca,znver3,gcc,Canonical,3,2.0
main,osaca,haswell,gcc,Morton,4,4.0
main,osaca,znver3,gcc,Morton,4,4.0
main,osaca,haswell,gcc,Canonical,4,3.0
main,osaca,znver3,gcc,Canonical,4,3.0
main,osaca,haswell,gcc,Morton,5,5.0
main,osaca,znver3,gcc,Morton,5,5.0
main,osaca,haswell,gcc,Canonical,5,4.0
main,osaca,znver3,gcc,Canonical,5,4.0
main,osaca,haswell,gcc,Morton,6,6.0
main,osaca,znver3,gcc,Morton,6,6.0
main,osaca,haswell,gcc,Canonical,6,5.0
main,osaca,znver3,gcc,Canonical,6,5.0
main,osaca,haswell,gcc,Morton,7,7.0
main,osaca,znver3,gcc,Morton,7,7.0
main,osaca,haswell,gcc,Canonical,7,6.0
